created_on,name,database_name,schema_name,kind,comment,cluster_by,rows,bytes,owner,retention_time,automatic_clustering,change_tracking,search_optimization,search_optimization_progress,search_optimization_bytes,is_external,enable_schema_evolution,owner_role_type,is_event,budget,is_hybrid,is_iceberg,is_dynamic,is_immutable
2024-08-28 22:51:51.472 -0700,CR_RLB_SOURCE,HPL_SYSTEM_DYNAMICS,FUSION_STORE,TABLE,,,100,5120,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 23:58:12.880 -0700,CR_RLB_SOURCE_BCK,HPL_SYSTEM_DYNAMICS,FUSION_STORE,TABLE,,,100,5120,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 22:51:31.257 -0700,CR_SAC_SOURCE,HPL_SYSTEM_DYNAMICS,FUSION_STORE,TABLE,,,100,3072,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 23:57:52.622 -0700,CR_SAC_SOURCE_BCK,HPL_SYSTEM_DYNAMICS,FUSION_STORE,TABLE,,,100,3072,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 22:51:57.337 -0700,CR_SCL_SOURCE,HPL_SYSTEM_DYNAMICS,FUSION_STORE,TABLE,,,100,6144,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 23:58:18.663 -0700,CR_SCL_SOURCE_BCK,HPL_SYSTEM_DYNAMICS,FUSION_STORE,TABLE,,,100,6144,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 22:51:37.024 -0700,CR_SFY_SOURCE,HPL_SYSTEM_DYNAMICS,FUSION_STORE,TABLE,,,100,2560,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 23:57:58.384 -0700,CR_SFY_SOURCE_BCK,HPL_SYSTEM_DYNAMICS,FUSION_STORE,TABLE,,,100,2560,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 22:51:34.124 -0700,CR_TFE_SOURCE,HPL_SYSTEM_DYNAMICS,FUSION_STORE,TABLE,,,100,5120,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 23:57:55.485 -0700,CR_TFE_SOURCE_BCK,HPL_SYSTEM_DYNAMICS,FUSION_STORE,TABLE,,,100,5120,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 22:51:48.597 -0700,CR_USB_SOURCE,HPL_SYSTEM_DYNAMICS,FUSION_STORE,TABLE,,,100,4096,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 23:58:10.023 -0700,CR_USB_SOURCE_BCK,HPL_SYSTEM_DYNAMICS,FUSION_STORE,TABLE,,,100,4096,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
